Neighborhood,OverallQual,YearRemodAdd,BsmtExposure,GrLivArea,KitchenQual,FireplaceQu,GarageType,GarageFinish,GarageCars,SalePrice
9,6,8,1,1216,1,1,4,1,2,164000
6,5,6,1,999,2,1,2,1,1,132500
8,5,2,1,1113,2,4,4,1,1,147000
8,5,42,1,1073,1,1,4,2,2,156000
11,5,36,3,1484,1,3,4,1,2,175000
5,5,36,1,2414,1,4,4,1,2,160000
0,4,7,3,630,2,1,4,1,1,86000
0,5,32,2,1304,1,4,5,3,1,115000
8,6,56,1,1578,0,3,4,1,1,133000
13,6,0,1,1456,1,1,4,2,2,172785
8,5,48,1,1269,1,2,2,1,1,155000
5,5,13,1,886,1,1,4,1,1,91300
1,4,59,1,720,1,1,0,0,0,34900
22,8,14,1,3228,2,4,4,2,2,430000
3,7,58,1,1820,1,1,2,1,1,184000
6,5,5,1,899,2,1,4,3,1,130000
8,5,22,1,912,1,1,4,3,1,120000
2,6,34,1,1218,1,1,2,1,1,113000
18,7,3,1,1768,2,1,4,2,2,226700
4,5,42,1,1214,1,1,2,1,2,140000
16,7,13,1,1801,1,3,4,3,2,289000
12,6,35,1,1322,1,2,4,1,2,147000
5,5,57,1,1960,1,1,2,1,2,124500
10,8,12,1,1911,2,3,4,2,2,215000
18,6,0,1,1218,2,1,4,3,2,208300
5,7,3,1,1378,2,4,2,1,2,161000
8,5,50,1,1041,1,1,4,2,1,124500
8,5,9,1,1363,1,3,1,1,1,164900
21,7,0,1,1368,2,4,4,2,2,202665
8,5,48,1,864,1,1,2,1,2,129900
9,6,24,1,1080,1,1,4,1,2,134000
16,5,57,1,789,1,1,2,1,1,96500
21,10,0,1,2020,3,4,4,3,3,402861
11,6,37,1,2119,1,3,4,2,2,158000
22,7,12,1,2344,2,3,4,2,3,265000
15,6,9,2,1796,1,1,4,2,2,211000
16,7,5,1,2080,2,4,2,1,1,234000
5,4,8,0,1294,1,1,0,0,0,106250
8,6,50,1,1244,1,4,4,1,1,150000
3,6,56,1,1664,1,4,2,1,2,159000
4,10,-1,4,4676,3,4,5,3,3,184750
22,7,10,1,2398,2,3,4,3,3,315750
18,7,1,1,1266,2,3,4,1,2,176000
8,5,7,1,928,1,1,4,1,1,132000
21,9,0,3,2713,3,4,4,3,3,446261
4,4,5,2,605,1,1,0,0,0,86000
16,6,32,1,2515,1,3,4,2,2,200624
19,6,19,3,1509,2,2,4,2,2,175000
3,6,9,2,1362,1,1,2,3,2,128000
8,5,3,0,827,1,0,2,1,1,107500
3,1,57,0,334,0,1,0,0,0,39300
13,8,2,3,1414,2,4,4,3,2,178000
4,5,17,4,1347,1,1,0,0,0,107500
15,7,9,3,1724,2,1,4,3,2,188000
8,4,36,1,864,1,1,2,1,2,111250
6,5,38,1,1159,1,2,4,1,1,158000
15,8,8,3,1601,2,3,4,2,2,272000
19,9,3,3,1838,3,4,4,3,3,315000
22,8,7,1,2285,2,3,5,3,3,248000
11,7,10,1,1680,2,3,4,3,2,213250
8,7,9,3,767,1,1,4,3,1,133000
13,7,0,3,1496,2,4,4,2,2,179665
11,7,18,1,2183,2,1,4,1,3,229000
3,6,57,1,1635,1,4,2,1,2,210000
9,5,37,3,768,1,1,2,1,2,129500
5,5,13,1,825,1,1,2,2,2,125000
18,7,5,1,2094,2,4,5,3,2,263000
12,6,31,1,1069,1,1,4,2,2,140000
5,5,51,1,928,1,1,4,3,1,112500
21,8,3,3,1717,2,4,4,2,3,255500
4,4,6,0,1126,2,1,2,3,2,108000
21,7,4,1,2046,2,4,5,2,3,284000
3,5,56,1,1048,1,4,2,1,1,113000
8,5,49,1,1092,1,3,4,3,1,141000
1,4,56,1,1336,1,1,1,1,1,108000
13,7,11,4,1446,1,3,4,1,2,175000
14,7,2,4,1557,2,3,4,3,2,234000
6,5,14,1,1392,1,4,2,1,2,121500
9,5,31,3,1389,1,3,4,2,2,170000
4,5,39,1,996,1,4,0,0,0,108000
4,6,58,2,1674,1,4,2,3,2,185000
22,7,6,1,2295,2,3,4,2,2,268000
7,6,60,1,1647,0,1,2,1,1,128000
20,9,1,1,2504,3,4,5,3,3,325000
21,7,6,1,1535,2,1,4,2,2,214000
10,8,0,4,2132,2,4,5,3,2,316600
8,5,27,4,943,1,3,2,1,2,135960
8,5,43,1,1728,1,1,2,1,2,142600
8,6,47,1,864,2,1,4,1,1,120000
19,7,0,3,1692,2,1,4,2,2,224500
13,7,7,1,1430,1,3,5,2,2,170000
8,5,2,3,1109,1,1,5,1,1,139000
8,5,58,1,1216,1,1,2,1,1,118500
7,7,59,1,1477,1,4,2,1,1,145000
6,5,40,3,1320,1,2,4,2,2,164500
18,7,1,1,1392,2,1,2,1,2,146000
5,5,54,1,1795,1,1,4,1,1,131500
8,6,20,1,1429,2,4,4,1,2,181900
21,8,0,1,2042,3,4,4,2,3,253293
4,6,17,3,816,1,1,0,0,0,118500
5,10,8,1,2775,2,4,2,1,2,325000
3,4,14,1,1573,2,1,2,1,1,133000
19,8,0,4,2028,2,4,4,2,3,369900
3,6,8,2,838,0,1,2,3,1,130000
6,5,27,3,860,1,1,2,1,2,137000
17,5,6,4,1473,3,4,4,1,1,143000
3,5,48,1,935,1,1,2,1,1,79500
15,7,4,1,1582,2,1,4,2,2,185900
21,10,1,4,2296,3,4,5,2,3,451950
9,5,5,1,816,1,1,2,3,2,138000
15,6,6,3,848,2,1,4,3,2,140000
15,5,33,1,924,1,1,2,1,1,110000
20,8,0,4,1826,2,3,4,3,3,319000
5,6,13,1,1368,1,1,2,1,1,114504
14,7,0,3,1402,2,4,4,3,3,194201
16,5,29,2,1647,2,3,4,3,2,217500
12,6,28,1,1556,1,3,4,3,2,151000
21,8,1,3,1904,3,4,5,3,2,275000
1,6,57,1,1375,2,4,2,1,1,141000
10,8,14,2,1915,2,3,4,3,2,220000
18,7,5,1,1200,2,1,2,2,2,151000
15,7,6,2,1494,2,3,4,2,2,221000
8,7,19,1,1986,1,2,4,1,2,205000
15,5,13,1,1040,2,1,2,1,2,152000
4,5,4,1,2008,3,1,4,1,1,225000
16,8,9,2,3194,1,4,3,1,2,359100
6,4,46,2,1029,1,1,4,1,1,118500
15,9,9,2,2153,3,5,4,3,3,313000
11,6,29,3,1032,1,3,4,1,2,148000
15,8,8,3,1872,3,3,5,2,2,261500
9,5,0,1,1120,1,1,0,0,0,147000
0,4,38,3,630,1,1,0,0,0,75500
8,6,47,4,1054,2,1,4,2,2,137500
13,6,3,1,1509,2,4,4,3,2,183200
8,6,54,1,832,2,1,2,1,2,105500
21,9,0,3,1828,2,4,4,1,3,314813
19,8,5,4,2262,2,4,4,3,3,305000
4,3,58,1,864,1,1,0,0,0,67000
11,6,11,1,2614,1,3,4,2,2,240000
6,5,32,1,980,1,1,2,1,2,135000
18,6,7,1,1512,2,3,2,1,2,168500
11,6,34,1,1790,1,3,4,2,2,165150
8,6,48,1,1116,1,1,4,1,2,160000
8,5,29,1,1422,1,3,4,2,1,139900
8,6,38,3,1520,1,4,3,2,1,153000
8,5,38,3,2080,0,3,4,1,2,135000
8,6,44,4,1350,1,1,4,2,2,168500
5,5,15,1,1750,3,1,2,1,1,124000
21,8,1,2,1554,2,4,4,2,2,209500
11,7,32,1,1411,1,3,4,3,2,82500
8,5,2,1,1056,1,1,4,1,1,139400
5,6,30,1,1056,1,1,2,1,2,144000
7,6,12,1,3395,0,1,0,0,0,200000
3,2,59,1,800,0,0,0,0,0,60000
5,5,55,1,1387,2,1,5,1,1,93000
4,5,58,1,796,1,1,0,0,0,85000
14,8,0,3,1567,3,4,4,3,3,264561
21,8,4,4,1518,3,4,4,2,2,274000
18,7,6,1,1929,2,3,4,3,2,226000
8,8,14,4,2704,3,3,4,3,2,345000
11,5,38,1,1620,1,1,4,3,2,152000
18,9,0,2,1766,3,4,4,3,3,370878
8,6,36,1,981,1,1,2,1,2,143250
8,5,58,0,1048,1,1,2,1,2,98300
4,6,55,2,1094,1,4,4,2,2,155000
8,6,44,1,1839,1,3,4,1,2,155000
0,4,37,3,630,1,1,0,0,0,84500
18,7,1,1,1665,2,1,4,2,2,205950
4,4,59,2,1510,1,4,2,1,1,108000
15,7,13,1,1716,2,3,4,2,2,191000
1,6,13,1,1469,1,1,2,1,1,135000
22,8,13,4,2113,2,3,4,3,3,350000
2,6,39,1,1092,1,1,2,1,1,88000
8,5,2,1,1053,2,1,4,2,1,145500
16,7,8,1,1502,1,4,4,2,1,149000
8,6,60,1,1458,1,4,4,1,1,97500
4,5,10,1,1486,1,1,2,3,2,167000
11,7,31,1,1935,1,3,4,2,2,197900
22,8,4,1,2448,2,3,4,2,3,402000
8,6,41,1,1392,1,3,4,2,2,110000
4,4,36,3,1181,1,1,2,2,2,137500
18,8,0,2,2097,3,5,4,3,3,423000
13,8,6,1,1936,2,3,4,2,2,230500
8,6,28,1,2380,1,0,1,1,2,129000
10,6,10,1,1679,2,2,4,2,2,193500
6,5,19,1,1437,1,3,2,1,2,168000
16,4,56,1,1180,0,4,2,1,1,137500
15,6,4,1,1476,2,1,4,3,2,173500
4,6,59,1,1369,1,1,2,1,1,103600
12,6,29,1,1208,1,3,4,2,2,165000
16,6,3,1,1839,2,3,4,3,2,257500
8,6,43,1,1136,1,4,4,2,1,140000
12,6,31,1,1441,1,3,4,1,2,148500
5,4,56,1,1774,1,1,1,1,3,87000
5,5,3,1,792,2,1,2,1,1,109500
20,8,1,2,2046,2,4,4,3,3,372500
6,5,46,1,988,1,1,2,1,2,128500
10,6,30,1,923,1,3,4,2,1,143000
7,5,9,1,1520,1,1,2,1,1,159434
17,6,11,2,1291,2,4,4,1,2,173000
15,9,5,3,1668,2,3,4,3,3,285000
22,7,12,1,1839,1,1,4,3,2,221000
20,7,23,2,2090,2,3,4,3,2,207500
18,7,0,1,1761,2,1,4,3,2,227875
18,7,3,1,1102,2,1,2,1,2,148800
20,8,0,3,1419,2,4,4,2,2,392000
21,6,1,3,1362,2,4,4,2,2,194700
15,6,4,4,848,2,3,4,2,2,141000
22,10,12,4,4316,3,5,4,3,3,755000
19,7,16,4,2519,2,4,4,2,2,335000
5,5,38,1,1073,1,1,2,1,1,108480
3,5,59,1,1539,1,1,2,1,2,141500
19,6,19,1,1137,2,3,4,1,2,176000
3,5,56,1,616,1,1,2,1,1,89000
4,5,54,2,1148,1,1,2,1,1,123500
6,5,1,1,894,1,4,2,1,1,138500
18,7,4,2,1391,2,1,4,2,2,196000
19,8,4,4,1800,2,4,4,3,3,312500
11,7,37,1,1164,1,1,4,1,2,140000
20,8,0,1,2576,3,4,5,3,3,361919
5,5,14,1,1812,2,0,2,1,2,140000
15,7,5,3,1484,2,1,4,2,2,213000
1,4,60,0,1092,0,1,0,0,0,55000
17,7,5,4,1824,2,3,4,1,2,302000
21,8,3,1,1324,2,4,4,3,2,254000
13,7,0,3,1456,2,4,4,3,2,179540
6,5,42,1,904,1,1,4,1,1,109900
3,3,5,1,729,1,1,0,0,0,52000
1,4,60,2,1178,1,1,2,2,1,102776
20,8,19,2,1228,2,4,4,3,2,189000
3,4,36,3,960,1,1,2,1,2,129000
6,6,5,1,1479,2,1,4,2,2,130500
11,6,35,1,1350,1,3,4,2,2,165000
5,7,9,1,2554,1,1,2,1,2,159500
11,5,8,1,1178,2,2,4,1,2,157000
22,7,14,4,2418,2,3,4,2,3,341000
15,5,37,4,971,1,0,4,1,1,128500
20,8,21,4,1742,2,3,4,2,2,275000
15,6,6,3,848,2,1,4,2,2,143000
8,4,39,1,864,1,1,2,1,2,124500
4,4,36,1,1470,1,1,2,1,1,135000
4,9,1,1,1698,3,4,4,3,3,320000
8,4,39,1,864,2,1,2,1,2,120500
16,6,2,1,1680,2,4,4,3,2,222000
15,7,2,3,1232,2,1,4,2,2,194500
8,5,51,1,1776,1,1,2,1,3,110000
1,4,59,1,1208,1,1,2,1,2,103000
20,8,14,1,1616,2,3,4,2,2,236500
19,7,4,3,1146,2,4,4,3,2,187500
15,7,9,3,2031,2,3,4,3,2,222500
6,5,26,1,1144,1,3,4,2,1,131400
6,5,39,1,948,1,1,4,1,1,108000
5,7,36,2,1768,1,3,2,1,2,163000
8,3,56,0,1040,1,1,2,1,2,93500
13,8,1,1,1801,2,4,4,3,3,239900
4,5,21,4,1200,1,1,0,0,0,179000
15,7,5,1,1728,2,1,4,2,2,190000
5,5,5,1,1432,1,1,2,1,2,132000
6,6,12,2,912,2,1,2,1,1,142000
10,7,6,1,1349,1,1,4,1,2,179000
6,5,10,3,1464,1,3,4,2,2,175000
20,8,15,1,1337,2,3,4,2,2,180000
11,8,12,1,2715,2,3,5,3,2,299800
13,7,9,1,2256,2,3,5,3,2,236000
5,7,6,1,2640,2,4,2,1,4,265979
22,7,14,1,1720,2,3,4,3,2,260400
4,4,59,0,1529,1,1,2,1,1,98000
5,4,6,1,1140,1,1,0,0,0,96500
13,7,4,1,1320,2,1,4,3,2,162000
15,6,9,4,1494,2,1,4,2,2,217000
21,8,1,2,2098,3,4,4,2,3,275500
8,6,4,1,1026,2,1,2,2,2,156000
18,6,10,1,1471,1,1,2,1,2,172500
15,8,2,3,1768,2,1,4,2,2,212000
6,6,32,2,1386,1,3,4,3,2,158900
18,7,9,1,1501,1,1,2,1,2,179400
22,8,12,3,2531,2,3,4,2,3,290000
8,6,50,1,864,1,1,2,1,1,127500
3,5,59,2,1301,0,1,2,1,2,100000
18,7,1,2,1547,2,1,4,1,2,215200
22,8,10,2,2365,2,4,4,2,3,337000
12,8,10,3,1494,3,4,4,3,2,270000
18,9,0,1,1506,3,4,4,3,2,264132
11,7,22,1,1714,1,3,4,1,2,196500
9,6,23,2,1750,1,1,4,1,1,160000
15,7,1,1,1836,2,4,4,3,2,216837
20,8,7,4,3279,3,4,5,3,3,538000
6,5,27,3,858,1,1,2,1,2,134900
4,4,55,1,1220,1,1,2,1,2,102000
4,6,34,3,1117,1,3,2,1,2,107000
8,5,49,1,912,1,1,4,2,1,114500
21,8,1,3,1973,2,4,4,3,3,395000
9,6,11,1,1204,1,1,4,3,2,162000
15,7,0,3,1614,2,1,4,2,3,221500
6,5,32,1,894,1,2,4,1,2,142500
10,5,30,0,2020,1,3,2,1,2,144000
9,6,29,4,1004,1,1,4,1,2,135000
13,7,11,1,1253,1,3,4,3,2,176000
10,6,14,1,1603,2,1,4,2,2,175900
15,7,7,1,1430,2,1,4,2,2,187100
9,5,31,3,1110,2,3,4,3,2,165500
5,6,7,1,1484,1,4,0,0,0,128000
11,6,42,1,1342,1,4,4,1,2,161500
5,5,60,1,1652,1,1,2,1,1,139000
10,7,6,1,2084,2,1,5,2,2,233000
5,4,8,1,901,1,1,2,1,1,107900
17,6,0,4,2087,2,1,4,3,2,187500
14,7,3,1,1145,2,4,4,3,2,160200
9,6,31,3,1062,1,3,4,2,2,146800
22,7,10,3,2013,1,3,4,1,2,269790
18,8,0,3,1496,2,1,4,3,2,225000
13,7,12,1,1895,2,3,4,3,2,194500
10,6,29,1,1564,1,3,4,1,2,171000
6,6,30,1,1285,1,3,4,2,2,143500
8,5,55,1,773,1,1,4,1,1,110000
21,9,0,1,3140,3,4,5,3,3,485000
7,5,57,1,1768,2,3,2,1,1,175000
17,6,11,4,1688,2,1,4,2,2,200000
1,4,17,1,1196,1,1,2,1,2,109900
15,7,3,3,1456,2,4,4,3,2,189000
21,9,0,4,2822,3,4,5,2,3,582933
8,5,52,1,1128,1,1,4,1,1,118000
18,7,0,1,1428,3,1,4,2,2,227680
8,5,39,3,980,1,1,4,3,1,135500
3,5,5,4,1576,2,3,4,2,2,223500
8,5,40,3,1086,1,4,4,2,2,159950
5,5,44,1,2138,1,1,2,1,2,106000
11,6,7,1,1309,2,2,4,2,2,181000
15,6,4,4,848,2,4,4,3,2,144500
1,5,58,3,1044,0,1,3,1,2,55993
8,6,49,1,1442,1,1,4,2,1,157900
4,5,56,1,1250,0,1,2,1,1,116000
15,7,12,1,1661,2,1,4,2,2,224900
8,5,52,1,1008,1,4,4,2,1,137000
9,8,6,1,1689,2,4,4,2,3,271000
17,6,39,3,1052,1,1,4,1,2,155000
21,7,0,2,1358,2,4,4,2,2,224000
15,7,5,1,1640,2,1,4,2,2,183000
5,4,56,1,936,1,1,2,1,2,93000
13,7,4,4,1733,2,4,5,3,2,225000
7,6,59,1,1489,1,4,2,1,1,139500
18,8,0,1,1489,2,4,4,2,2,232600
21,10,0,3,2084,3,4,4,3,3,385000
3,5,58,1,784,2,1,0,0,0,109500
10,7,8,1,1434,2,3,4,2,2,189000
17,5,42,4,2126,1,1,4,3,2,185000
18,7,1,1,1223,2,1,2,2,2,147400
8,6,51,1,1392,1,4,4,2,2,166000
18,7,1,1,1200,2,1,2,2,2,151000
15,7,7,1,1829,2,3,4,2,2,237000
8,6,45,1,1516,1,1,4,2,2,167000
8,5,47,1,1144,1,1,4,1,2,139950
6,4,15,1,1067,2,1,4,1,2,128000
5,5,34,1,1559,1,1,2,1,2,153500
2,6,35,1,987,1,1,2,1,1,100000
15,5,2,1,1099,2,1,4,1,1,144000
4,5,13,1,1200,1,1,2,1,1,130500
7,6,58,1,1482,0,1,2,1,1,140000
5,5,6,1,1539,2,0,2,1,2,157500
8,6,42,4,1165,1,1,4,2,2,174900
8,5,46,1,1800,1,1,0,0,0,141000
5,5,58,2,1416,1,4,2,1,3,153900
6,5,26,4,1701,1,3,3,3,2,171000
10,7,16,1,1775,2,3,4,1,2,213000
15,5,37,3,864,1,2,4,1,1,133500
17,6,11,1,2358,1,4,2,1,2,240000
12,6,13,1,1855,1,3,4,2,2,187000
15,6,4,3,848,2,1,4,3,2,131500
14,8,3,4,1456,2,3,4,3,2,215000
16,7,57,1,1646,1,4,2,1,1,164000
8,6,45,4,1445,1,2,4,2,2,158000
6,5,32,2,1779,1,4,4,1,2,170000
6,5,0,1,1040,1,1,2,1,1,127000
15,6,30,4,1026,1,1,2,1,2,147000
13,6,14,1,1481,1,3,4,3,2,174000
11,7,33,1,1370,1,3,4,2,2,152000
11,6,22,2,2654,2,4,4,1,2,250000
16,7,9,1,1426,2,4,2,1,1,189950
6,5,45,2,1039,1,1,4,1,2,131500
10,6,25,1,1097,1,1,4,1,2,152000
8,5,50,1,1148,1,1,4,1,1,132500
18,7,0,1,1372,2,1,4,3,2,250580
8,5,39,1,1002,1,1,2,1,2,148500
19,8,0,3,1646,2,4,4,2,3,248900
6,4,46,1,1120,0,1,4,2,2,129000
13,5,56,0,2320,1,3,4,1,2,169000
10,7,16,1,1949,2,3,4,3,2,236000
8,5,47,1,894,1,1,2,1,1,109500
15,6,12,1,1682,2,1,4,2,2,200500
8,5,12,3,910,2,1,4,1,2,116000
8,5,59,1,1268,1,4,4,1,1,133000
5,5,59,1,1131,1,1,2,1,1,66500
18,8,0,3,2610,3,4,5,3,2,303477
9,4,44,4,1040,1,1,4,1,2,132250
21,9,4,1,2224,3,4,4,3,3,350000
6,5,15,3,1155,2,1,2,1,2,148000
15,5,4,1,864,1,1,4,1,1,136500
4,5,1,1,1090,1,1,4,3,2,157000
19,7,16,2,1717,2,3,4,2,2,187500
13,6,16,1,1593,1,3,5,2,2,178000
7,4,56,1,2230,1,1,2,1,1,118500
8,5,42,1,892,1,1,4,2,1,100000
18,9,8,3,1709,2,3,4,3,2,328900
8,5,1,1,1712,1,1,4,3,2,145000
4,5,53,1,1393,1,1,4,1,1,135500
8,8,37,4,2217,2,3,4,1,2,268000
8,6,56,1,1505,1,3,4,2,2,149500
8,5,1,2,924,1,0,2,1,2,122900
6,6,31,1,1683,1,3,4,2,2,172500
6,6,3,1,1068,1,1,4,2,1,154500
6,5,54,2,1383,1,4,4,1,1,165000
10,5,30,0,1535,1,1,4,1,2,118858
8,6,45,1,1796,1,3,4,2,2,140000
1,4,56,1,951,1,1,2,1,1,106500
10,5,30,0,2240,1,1,2,1,2,142953
21,9,0,4,2364,3,4,4,3,3,611657
6,5,12,1,1236,1,3,4,1,1,135000
8,4,36,1,858,1,1,2,1,1,110000
8,5,9,2,1306,1,1,2,1,1,153000
13,7,3,1,1509,2,4,4,3,2,180000
13,7,0,1,1670,2,4,4,2,3,240000
6,5,40,1,902,1,1,4,1,1,125500
8,5,56,1,1063,1,1,4,2,1,128000
18,8,1,1,1636,2,4,4,2,3,255000
16,7,19,1,2057,2,4,4,3,1,250000
9,5,23,3,902,1,1,4,1,2,131000
13,6,4,1,1484,2,4,4,3,2,174000
8,5,50,1,2274,1,1,2,1,2,154300
15,5,20,3,1268,2,1,2,1,1,143500
3,5,56,1,1015,1,1,2,1,1,88000
16,5,57,1,2002,1,1,1,1,3,145000
18,6,0,3,1224,2,1,2,2,2,173733
0,4,37,1,1092,1,1,4,1,1,75000
1,2,56,3,480,1,1,2,1,1,35311
4,4,53,1,1229,1,1,4,2,1,135000
10,7,16,2,2127,2,3,4,2,3,238000
8,6,6,1,1414,1,3,4,1,2,176500
10,6,13,1,1721,2,1,4,2,2,201000
4,5,5,1,2200,1,1,0,0,0,145900
13,6,0,1,1316,2,4,4,3,2,169990
10,6,14,1,1617,2,2,4,2,2,193000
11,6,26,1,1686,1,3,4,1,2,207500
11,5,31,3,1126,3,1,4,2,2,175000
21,8,3,1,2374,3,4,5,3,3,285000
11,7,40,1,1978,1,4,4,2,2,176000
15,8,8,3,1788,3,3,4,2,2,236500
13,7,9,1,2236,2,3,5,3,2,222000
19,8,2,3,1466,2,1,4,3,3,201000
8,5,44,1,925,1,1,2,1,1,117500
18,9,1,1,1905,3,4,4,3,3,320000
15,7,5,3,1500,2,1,4,2,2,190000
8,7,1,4,2069,2,4,4,2,2,242000
3,4,53,2,747,1,1,2,1,2,79900
10,7,6,1,1200,2,1,4,2,2,184900
18,7,4,2,1971,2,4,4,2,2,253000
15,7,0,2,1962,2,1,4,2,3,239799
17,7,60,2,2403,1,3,4,1,1,244400
9,6,30,4,1728,1,1,4,1,2,150900
13,7,10,1,2060,2,3,5,2,2,214000
4,4,30,4,1440,1,1,0,0,0,150000
9,5,40,3,1632,1,1,4,1,2,143000
19,6,51,1,1344,2,4,3,2,2,137500
5,5,13,1,1869,1,1,2,1,2,124900
8,5,47,3,1144,1,3,4,2,1,143000
19,8,4,3,1629,2,4,4,3,3,270000
15,7,4,0,1776,2,3,4,2,2,192500
11,6,4,1,1381,2,3,4,2,2,197500
8,5,5,1,864,2,1,2,2,2,129000
10,5,41,1,965,1,1,2,1,1,119900
15,5,6,3,768,1,1,2,3,1,133900
9,5,39,3,1968,1,0,4,2,2,172000
4,6,31,4,980,1,1,0,0,0,127500
16,6,57,1,1958,1,1,4,1,2,145000
12,6,29,1,1229,1,3,4,3,2,124000
6,5,45,1,1057,1,1,2,3,2,132000
15,7,4,2,1337,2,1,4,2,2,185000
18,7,11,1,1416,2,1,2,1,2,155000
3,5,2,4,858,1,1,0,0,0,116500
11,6,13,1,2872,1,3,4,3,2,272000
12,6,31,1,1548,2,3,2,1,2,155000
15,9,2,1,1800,3,1,4,3,2,239000
19,7,7,1,1894,2,4,5,3,2,214900
13,6,0,1,1484,2,4,4,3,2,178900
16,5,59,1,1308,1,3,2,1,1,160000
8,5,53,1,1098,1,1,4,1,1,135000
5,3,59,1,968,1,1,0,0,0,37900
8,6,48,4,1095,1,1,4,2,1,140000
8,4,56,1,1192,1,1,0,0,0,135000
